instance,|V|,|A|,|B|,T,Components,ComponentsSelection,Profits,Algorithm,%numVisitedBlocks,%numVisitedBlocksNodes,%repeatedArcs,%repeatedNodes,%tourTotalMinutes,%blocksTotalMinutes,%tourMinutes,%blocksMinutes
77,598,357006,80,120,single,random,unitary,BRKGA,65.0,59.25925925925926,2.9177718832891246,23.280423280423282,14.571249999999997,85.42,14.572525095945892,85.4274749040541
78,593,351056,80,120,single,random,unitary,BRKGA,65.0,45.86894586894587,4.857142857142857,15.954415954415955,13.827499999999999,86.10999999999999,13.836147592245153,86.16385240775485
79,542,293222,80,120,single,random,unitary,BRKGA,62.5,47.75725593667546,5.555555555555555,26.649076517150394,14.305000000000001,85.64,14.312872079643805,85.68712792035619
80,598,357006,80,120,single,random,unitary,BRKGA,63.75,59.40594059405941,13.57615894039735,18.48184818481848,13.042499999999999,86.89,13.051309634002951,86.94869036599704
1,54,2862,5,120,multiple,sparse,unitary,BRKGA,100.0,1.5444015444015444,0.0,0.0,24.1175,7.63,75.96661154421608,24.03338845578392
2,59,3422,5,120,multiple,sparse,unitary,BRKGA,100.0,2.127659574468085,0.0,0.0,22.779999999999998,6.315,78.29523973191269,21.704760268087302
3,48,2256,5,120,multiple,sparse,unitary,BRKGA,100.0,1.4598540145985401,0.0,1.6423357664233578,25.17375,5.135000000000001,83.05769785952901,16.942302140470986
4,45,1980,5,120,multiple,sparse,unitary,BRKGA,100.0,1.4209591474245116,0.0,0.0,24.43,5.29,82.20053835800807,17.799461641991922
5,58,3306,5,120,multiple,sparse,unitary,BRKGA,100.0,1.2773722627737227,0.0,1.6423357664233578,25.17375,8.205,75.41849230423547,24.581507695764518
6,95,8930,10,120,multiple,sparse,unitary,BRKGA,100.0,3.064699205448354,0.0,7.832009080590239,34.473749999999995,11.26,75.37923306092327,24.620766939076724
7,97,9312,10,120,multiple,sparse,unitary,BRKGA,100.0,3.5629453681710213,0.0,4.038004750593824,35.517500000000005,14.594999999999999,70.87553005737091,29.12446994262908
8,95,8930,10,120,multiple,sparse,unitary,BRKGA,100.0,3.267211201866978,0.0,8.051341890315053,33.7425,12.46,73.03176235052216,26.968237649477842
