instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
30,297,87912,30,120.0,SOL-STATS,130.0,50723.0,76.08449999999999,9090.0,54.54000000000001,27,412,1335,249,62
31,374,139502,35,120.0,SOL-STATS,95.0,44640.0,66.96000000000001,10702.0,64.21199999999999,24,549,1290,282,170
32,349,121452,35,120.0,SOL-STATS,120.0,47230.0,70.845,10211.0,61.266,25,438,1294,238,153
33,340,115260,35,120.0,SOL-STATS,65.0,70587.0,105.88050000000001,3462.0,20.772000000000006,11,147,1931,531,234
34,626,391250,35,120.0,SOL-STATS,83.0,49152.0,73.72800000000001,9515.0,57.09000000000001,23,314,1303,313,128
35,279,77562,35,120.0,SOL-STATS,118.0,43803.0,65.70450000000002,11066.0,66.39599999999999,27,309,968,206,69
36,397,157212,40,120.0,SOL-STATS,111.0,23066.0,34.599000000000004,9053.0,54.318,24,359,599,138,62
37,510,259590,40,120.0,SOL-STATS,8.0,1713.0,2.5695000000000006,606.0,3.636,2,30,76,2,0
38,488,237656,40,120.0,SOL-STATS,97.0,22821.0,34.231500000000004,8030.0,48.18,26,292,582,138,57
39,422,177662,40,120.0,SOL-STATS,16.0,2132.0,3.1980000000000013,832.0,4.992,3,25,41,6,2
3,45,1980,5,120.0,SOL-STATS,19.0,67309.0,100.96350000000001,1338.0,8.028,5,79,1839,416,416
40,439,192282,40,120.0,SOL-STATS,21.0,5172.0,7.758000000000001,2301.0,13.806,6,52,114,11,0
41,438,191406,45,120.0,SOL-STATS,16.0,14800.0,22.200000000000003,2160.0,12.96,3,41,419,13,3
42,385,147840,45,120.0,SOL-STATS,4.0,572.0,0.8580000000000005,572.0,3.4320000000000004,1,14,14,2,0
43,380,144020,45,120.0,SOL-STATS,91.0,69397.0,104.09550000000002,4126.0,24.756000000000007,17,161,1806,384,168
44,505,254520,45,120.0,SOL-STATS,7.0,76.0,0.11400000000000005,76.0,0.456,1,7,7,1,0
45,533,283556,45,120.0,SOL-STATS,10.0,1003.0,1.5045000000000002,1003.0,6.018,2,26,26,1,0
46,764,582932,50,120.0,SOL-STATS,5.0,484.0,0.726,484.0,2.9040000000000004,1,24,24,1,0
47,452,203852,50,120.0,SOL-STATS,15.0,2962.0,4.443000000000001,1111.0,6.666,3,63,166,39,0
48,777,602952,50,120.0,SOL-STATS,102.0,59244.0,88.86599999999999,6702.0,40.21199999999999,22,287,1738,483,241
49,416,172640,50,120.0,SOL-STATS,7.0,605.0,0.9074999999999998,1074.0,6.444000000000001,2,21,21,1,0
4,51,2550,5,120.0,SOL-STATS,22.0,25663.0,38.4945,2573.0,15.438000000000002,5,78,680,29,10
50,447,199362,50,120.0,SOL-STATS,12.0,1514.0,2.271000000000001,2058.0,12.348000000000003,4,14,14,3,0
51,724,523452,55,120.0,SOL-STATS,24.0,6419.0,9.6285,2494.0,14.964,7,66,141,34,9
52,528,278256,55,120.0,SOL-STATS,7.0,182.0,0.27300000000000013,182.0,1.092,1,8,8,1,0
53,640,408960,55,120.0,SOL-STATS,6.0,418.0,0.6269999999999998,418.0,2.508,1,23,23,9,0
54,466,216690,55,120.0,SOL-STATS,5.0,690.0,1.0350000000000001,829.0,4.974,2,50,50,8,0
55,519,268842,55,120.0,SOL-STATS,10.0,1833.0,2.7495000000000003,1295.0,7.7700000000000005,2,55,71,15,6
56,572,326612,60,120.0,SOL-STATS,10.0,1771.0,2.6564999999999994,1071.0,6.426,2,11,18,2,0
57,569,323192,60,120.0,SOL-STATS,7.0,462.0,0.6930000000000001,462.0,2.7720000000000002,1,9,9,1,0
58,788,620156,60,120.0,SOL-STATS,10.0,2491.0,3.7365000000000013,1918.0,11.508000000000001,2,72,90,17,0
59,536,286760,60,120.0,SOL-STATS,13.0,1538.0,2.3070000000000004,1151.0,6.906000000000001,2,19,25,2,0
60,582,338142,60,120.0,SOL-STATS,7.0,605.0,0.9075000000000002,605.0,3.6300000000000003,1,21,21,1,0
61,650,421850,65,120.0,SOL-STATS,5.0,498.0,0.7469999999999999,498.0,2.988,1,5,5,1,0
62,690,475410,65,120.0,SOL-STATS,7.0,434.0,0.6509999999999998,434.0,2.604,1,8,8,1,0
63,834,694722,65,120.0,SOL-STATS,12.0,1364.0,2.0460000000000003,876.0,5.256,2,41,48,13,5
64,562,315282,65,120.0,SOL-STATS,6.0,452.0,0.6779999999999999,452.0,2.712,1,22,22,1,0
65,694,480942,65,120.0,SOL-STATS,10.0,1651.0,2.4764999999999997,1239.0,7.434000000000001,2,14,14,5,0
66,675,454950,70,120.0,SOL-STATS,13.0,1397.0,2.0954999999999995,632.0,3.792,3,29,43,4,0
67,786,617010,70,120.0,SOL-STATS,7.0,488.0,0.7320000000000002,488.0,2.9280000000000004,1,19,19,7,0
68,979,957462,70,120.0,SOL-STATS,21.0,3011.0,4.516500000000001,1720.0,10.32,5,110,164,13,3
69,856,731880,70,120.0,SOL-STATS,9.0,1416.0,2.1240000000000006,830.0,4.98,2,18,36,4,0
