budget_bin,mean_gap,std_gap,gap_lo,gap_hi
395.0,0.0028067485871146117,0.002101661883103122,0.0007050867040114895,0.004908410470217734
400.0,0.002543334577344756,0.0023318634557220907,0.00021147112162266547,0.004875198033066847
405.0,0.002329427738910345,0.0023872508113469406,0.0,0.004716678550257286
410.0,0.004259745686590214,0.001581087080221274,0.00267865860636894,0.005840832766811488
415.0,0.0038147235886510167,0.0014744487987028618,0.002340274789948155,0.005289172387353878
420.0,0.0038986280953918224,0.0017237871913156663,0.002174840904076156,0.005622415286707489
425.0,0.0028643107874545956,0.001959875142698132,0.0009044356447564634,0.004824185930152727
430.0,0.0027860728505438278,0.0014571914875196367,0.001328881363024191,0.0042432643380634644
435.0,0.0022806821472866052,0.002049256113033319,0.00023142603425328626,0.004329938260319924
440.0,0.0021911110707157617,0.0020532629829862056,0.00013784808772955614,0.004244374053701967
445.0,0.0019770998764912194,0.0016199259483784631,0.00035717392811275626,0.0035970258248696823
450.0,0.001971433306661182,0.001873271210944154,9.8162095717028e-05,0.003844704517605336
455.0,0.0018818622300903387,0.001877278080897041,4.584149193297658e-06,0.0037591403109873797
460.0,0.001778124728944401,0.0025146481072641554,0.0,0.004292772836208557
465.0,0.0020817069997397866,0.0,0.0020817069997397866,0.0020817069997397866
470.0,0.0012143290831815423,0.0,0.0012143290831815423,0.0012143290831815423
475.0,0.0009541157082140688,0.0,0.0009541157082140688,0.0009541157082140688
480.0,0.0,0.0,0.0,0.0
