instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
71,740,546860,75,120.0,SOL-STATS,2.0,536.0,0.8040000000000003,841.0,5.046,2,13,13,1,0
72,666,442890,75,120.0,SOL-STATS,5.0,2700.0,4.05,1091.0,6.546,5,50,84,12,5
73,777,602952,75,120.0,SOL-STATS,3.0,1723.0,2.5845000000000002,615.0,3.6900000000000004,3,32,57,6,1
74,715,510510,75,120.0,SOL-STATS,0.0,79642.0,119.46300000000001,0.0,0.0,0,0,2330,630,415
75,907,821742,75,120.0,SOL-STATS,2.0,1333.0,1.9994999999999994,1012.0,6.072000000000001,2,10,12,2,0
76,802,642402,80,120.0,SOL-STATS,1.0,446.0,0.669,446.0,2.676,1,13,13,1,0
77,712,506232,80,120.0,SOL-STATS,2.0,446.0,0.669,609.0,3.6540000000000004,2,24,24,1,0
78,741,548340,80,120.0,SOL-STATS,1.0,262.0,0.393,262.0,1.572,1,12,12,1,0
79,829,686412,80,120.0,SOL-STATS,2.0,694.0,1.0410000000000004,1197.0,7.182,2,24,24,1,0
80,902,812702,80,120.0,SOL-STATS,4.0,7659.0,11.488499999999995,9100.0,54.6,4,146,146,40,0
5,57,3192,5,120.0,SOL-STATS,5.0,19369.0,29.0535,1167.0,7.002000000000001,5,21,547,4,0
6,104,10712,10,120.0,SOL-STATS,10.0,58638.0,87.95700000000001,2878.0,17.268,10,72,1647,274,91
7,93,8556,10,120.0,SOL-STATS,10.0,67133.0,100.6995,2056.0,12.336,10,75,2005,470,289
8,110,11990,10,120.0,SOL-STATS,10.0,62001.0,93.00150000000001,2555.0,15.33,10,94,1853,460,310
9,91,8190,10,120.0,SOL-STATS,10.0,31982.0,47.973000000000006,3545.0,21.270000000000003,10,252,880,179,99
10,93,8556,10,120.0,SOL-STATS,10.0,20118.0,30.177,4597.0,27.582,10,225,526,139,109
11,123,15006,15,120.0,SOL-STATS,15.0,56380.0,84.57000000000002,6350.0,38.1,15,397,1456,386,349
12,98,9506,15,120.0,SOL-STATS,15.0,34518.0,51.777,5868.0,35.208,15,298,856,221,189
13,120,14280,15,120.0,SOL-STATS,15.0,51625.0,77.4375,6100.0,36.60000000000001,15,399,1381,371,412
14,97,9312,15,120.0,SOL-STATS,15.0,37217.0,55.825500000000005,5831.0,34.986000000000004,15,403,930,198,222
15,140,19460,15,120.0,SOL-STATS,15.0,41568.0,62.352,6754.0,40.52400000000001,15,396,1047,281,215
16,151,22650,20,120.0,SOL-STATS,19.0,57706.0,86.559,6921.0,41.526,19,466,1412,314,415
17,150,22350,20,120.0,SOL-STATS,20.0,48536.0,72.804,7119.0,42.714000000000006,20,462,1283,328,329
18,133,17556,20,120.0,SOL-STATS,20.0,46377.0,69.56549999999999,7446.0,44.67600000000001,20,399,1050,255,236
19,133,17556,20,120.0,SOL-STATS,20.0,51770.0,77.655,7351.0,44.106,20,419,1309,344,335
1,37,1332,5,120.0,SOL-STATS,5.0,12002.0,18.003,2327.0,13.962,5,81,324,57,21
20,139,19182,20,120.0,SOL-STATS,20.0,50673.0,76.0095,7256.0,43.536,20,485,1364,301,254
21,217,46872,25,120.0,SOL-STATS,25.0,45337.0,68.0055,8959.0,53.754000000000005,25,607,1282,320,295
22,190,35910,25,120.0,SOL-STATS,25.0,46128.0,69.19200000000001,8515.0,51.09,25,479,1190,357,252
23,189,35532,25,120.0,SOL-STATS,25.0,42349.0,63.5235,8685.0,52.11,25,482,1120,265,278
24,186,34410,25,120.0,SOL-STATS,25.0,47952.0,71.928,8794.0,52.764,25,544,1291,344,317
25,190,35910,25,120.0,SOL-STATS,24.0,53462.0,80.19300000000001,8271.0,49.626000000000005,24,549,1474,356,350
26,207,42642,30,120.0,SOL-STATS,30.0,45719.0,68.57849999999999,10773.0,64.638,30,620,1161,320,253
27,205,41820,30,120.0,SOL-STATS,30.0,47269.0,70.90350000000001,10486.0,62.916000000000004,30,621,1259,308,278
28,236,55460,30,120.0,SOL-STATS,30.0,46443.0,69.6645,10630.0,63.78000000000001,30,622,1208,300,272
29,218,47306,30,120.0,SOL-STATS,29.0,45109.0,67.6635,10861.0,65.166,29,641,1162,296,287
2,35,1190,5,120.0,SOL-STATS,5.0,9593.0,14.389499999999998,2066.0,12.396,5,67,236,36,19
30,207,42642,30,120.0,SOL-STATS,30.0,46768.0,70.15200000000002,10481.0,62.886,30,532,1204,357,268
31,250,62250,35,120.0,SOL-STATS,35.0,37995.0,56.99249999999999,12291.0,73.746,35,611,1036,290,172
32,240,57360,35,120.0,SOL-STATS,34.0,39925.0,59.8875,12635.0,75.80999999999999,34,593,994,256,196
33,243,58806,35,120.0,SOL-STATS,35.0,40778.0,61.16699999999999,12359.0,74.15399999999998,35,662,1119,308,261
