instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
18,158,24806,20,120,SOL-STATS,87,50064,75.096,8913,53.478,19,295,1330,339,103,multiple,random,random,IP
19,192,36672,20,120,SOL-STATS,74,48284,72.426,9625,57.75,19,348,1254,272,79,multiple,random,random,IP
1,25,600,5,120,SOL-STATS,15,14812,22.218,1207,7.242,5,39,403,57,1,multiple,random,random,IP
20,169,28392,20,120,SOL-STATS,74,47290,70.935,8322,49.932,20,305,1216,249,89,multiple,random,random,IP
21,228,51756,25,120,SOL-STATS,94,47127,70.6905,9919,59.514,23,334,1245,207,49,multiple,random,random,IP
22,330,108570,25,120,SOL-STATS,100,46741,70.1115,9908,59.448,24,441,1233,211,85,multiple,random,random,IP
23,257,65792,25,120,SOL-STATS,99,48168,72.252,9628,57.768,23,336,1272,229,56,multiple,random,random,IP
24,282,79242,25,120,SOL-STATS,94,53716,80.574,7733,46.398,18,330,1375,260,196,multiple,random,random,IP
25,247,60762,25,120,SOL-STATS,97,47519,71.2785,9780,58.68,23,435,1281,265,155,multiple,random,random,IP
26,343,117306,30,120,SOL-STATS,121,45583,68.3745,10444,62.664,23,443,1124,224,175,multiple,random,random,IP
27,285,80940,30,120,SOL-STATS,123,35878,53.817,11897,71.382,28,427,951,192,111,multiple,random,random,IP
28,320,102080,30,120,SOL-STATS,115,51049,76.5735,9510,57.06,25,327,1441,251,74,multiple,random,random,IP
29,612,373932,30,120,SOL-STATS,83,49855,74.7825,8484,50.904,18,344,1249,315,184,multiple,random,random,IP
2,55,2970,5,120,SOL-STATS,19,21996,32.994,2657,15.942,5,76,590,236,73,multiple,random,random,IP
30,297,87912,30,120,SOL-STATS,130,50723,76.0845,9090,54.54,27,412,1335,249,62,multiple,random,random,IP
31,374,139502,35,120,SOL-STATS,95,44640,66.96,10702,64.212,24,549,1290,282,170,multiple,random,random,IP
32,349,121452,35,120,SOL-STATS,120,47230,70.845,10211,61.266,25,438,1294,238,153,multiple,random,random,IP
33,340,115260,35,120,SOL-STATS,65,70587,105.8805,3462,20.772,11,147,1931,531,234,multiple,random,random,IP
34,626,391250,35,120,SOL-STATS,83,49152,73.728,9515,57.09,23,314,1303,313,128,multiple,random,random,IP
35,279,77562,35,120,SOL-STATS,118,43803,65.7045,11066,66.396,27,309,968,206,69,multiple,random,random,IP
36,397,157212,40,120,SOL-STATS,111,23066,34.599,9053,54.318,24,359,599,138,62,multiple,random,random,IP
37,510,259590,40,120,SOL-STATS,8,1713,2.5695,606,3.636,2,30,76,2,0,multiple,random,random,IP
38,488,237656,40,120,SOL-STATS,97,22821,34.2315,8030,48.18,26,292,582,138,57,multiple,random,random,IP
39,422,177662,40,120,SOL-STATS,16,2132,3.198,832,4.992,3,25,41,6,2,multiple,random,random,IP
3,45,1980,5,120,SOL-STATS,19,67309,100.9635,1338,8.028,5,79,1839,416,416,multiple,random,random,IP
40,439,192282,40,120,SOL-STATS,21,5172,7.758,2301,13.806,6,52,114,11,0,multiple,random,random,IP
41,438,191406,45,120,SOL-STATS,16,14800,22.2,2160,12.96,3,41,419,13,3,multiple,random,random,IP
42,385,147840,45,120,SOL-STATS,4,572,0.858000000000001,572,3.432,1,14,14,2,0,multiple,random,random,IP
43,380,144020,45,120,SOL-STATS,91,69397,104.0955,4126,24.756,17,161,1806,384,168,multiple,random,random,IP
44,505,254520,45,120,SOL-STATS,7,76,0.114,76,0.456,1,7,7,1,0,multiple,random,random,IP
45,533,283556,45,120,SOL-STATS,10,1003,1.5045,1003,6.018,2,26,26,1,0,multiple,random,random,IP
46,764,582932,50,120,SOL-STATS,5,484,0.726,484,2.904,1,24,24,1,0,multiple,random,random,IP
47,452,203852,50,120,SOL-STATS,15,2962,4.443,1111,6.666,3,63,166,39,0,multiple,random,random,IP
48,777,602952,50,120,SOL-STATS,102,59244,88.866,6702,40.212,22,287,1738,483,241,multiple,random,random,IP
49,416,172640,50,120,SOL-STATS,7,605,0.9075,1074,6.444,2,21,21,1,0,multiple,random,random,IP
